"fieldname","scenario","year","rotation","fieldID","product","production_area","finished_product_from_production_area","climate","avg_annual_temp","croptype","soiltexture","SOM_integer","SOM","soilmoisture","soildrainage","pHvalue","pH","fertiliser1","applicationrate","applicationmethod","fertiliser_spraydays","pesticide_applicns","tillage_changes","tillage_changes_time","tillage_changes_pc","residue_management","residue_incorporation","chisel_plough","disc_gang","disc_harrow","field_cultivator_ridger ","grain_drill","grain_drill_notill","row_crop_planter","moldboard_plough","roller_harrow","roller_packer","rotary_hoe_bed_tiller","subsoiler","tine_harrow","spraydays_BGgly","wtd_yield_mean"
"n_h_HD-HR","BAU",2011,"1","BAU_n_h_HD-HR_1","winterwheat",7.2,57.0472466840287,"Temperate",10,"Winter wheat","Fine",5.848,"5.16 < SOM <= 10.32","Moist","Good",7,"5.5 < pH <= 7.3","Ammonium nitrate - 35% N",220,"Apply in solution",3,8.0976,"No ",0,100,"Left on field; Incorporated or mulch","no change",0,0,1,0,0,1,0,0,0,2,0,0,0,4,7.92322870611509
"n_h_HD-HR","BAU",2012,"2","BAU_n_h_HD-HR_2","winterwheat",7.2,49.3626145424429,"Temperate",10,"Winter wheat","Fine",5.848,"5.16 < SOM <= 10.32","Moist","Good",7,"5.5 < pH <= 7.3","Ammonium nitrate - 35% N",220,"Apply in solution",3,8.0976,"No ",0,100,"Left on field; Incorporated or mulch","no change",0,0,1,0,0,1,0,0,0,2,0,0,0,4,6.8559186864504
"n_h_HD-HR","BAU",2013,"3","BAU_n_h_HD-HR_3","wosr",7.2,24.12,"Temperate",10,"Other","Fine",5.848,"5.16 < SOM <= 10.32","Moist","Good",7,"5.5 < pH <= 7.3","Ammonium nitrate - 35% N",190,"Apply in solution",3,2,"No ",0,100,"Left on field; Incorporated or mulch","no change",0,0,0,0,0,0,0,0,0,1,0,1,0,3,3.35
"n_h_HD-HR","BAU",2014,"4","BAU_n_h_HD-HR_4","winterwheat",7.2,54.1585043140679,"Temperate",10,"Winter wheat","Fine",5.848,"5.16 < SOM <= 10.32","Moist","Good",7,"5.5 < pH <= 7.3","Ammonium nitrate - 35% N",220,"Apply in solution",3,8.0976,"No ",0,100,"Left on field; Incorporated or mulch","no change",0,0,1,0,0,1,0,0,0,2,0,0,0,4,7.52201448806499
"n_h_HD-HR","BAU",2015,"5","BAU_n_h_HD-HR_5","winterwheat",7.2,50.8960862741226,"Temperate",10,"Winter wheat","Fine",5.848,"5.16 < SOM <= 10.32","Moist","Good",7,"5.5 < pH <= 7.3","Ammonium nitrate - 35% N",220,"Apply in solution",3,8.0976,"No ",0,100,"Left on field; Incorporated or mulch","no change",0,0,1,0,0,1,0,0,0,2,0,0,0,4,7.06890087140591
"n_h_HD-HR","BAU",2016,"6","BAU_n_h_HD-HR_6","wosr",7.2,24.12,"Temperate",10,"Other","Fine",5.848,"5.16 < SOM <= 10.32","Moist","Good",7,"5.5 < pH <= 7.3","Ammonium nitrate - 35% N",190,"Apply in solution",3,2,"No ",0,100,"Left on field; Incorporated or mulch","no change",0,0,0,0,0,0,0,0,0,1,0,1,0,3,3.35
"n_h_LD-HR","BAU",2011,"1","BAU_n_h_LD-HR_1","winterwheat",7.2,60.386429659279,"Temperate",10,"Winter wheat","Fine",5.848,"5.16 < SOM <= 10.32","Moist","Good",7,"5.5 < pH <= 7.3","Ammonium nitrate - 35% N",220,"Apply in solution",3,7.3776,"No ",0,100,"Left on field; Incorporated or mulch","no change",0,0,1,0,0,1,0,0,0,2,0,0,0,4,8.3870041193443
"n_h_LD-HR","BAU",2012,"2","BAU_n_h_LD-HR_2","winterwheat",7.2,50.288524695323,"Temperate",10,"Winter wheat","Fine",5.848,"5.16 < SOM <= 10.32","Moist","Good",7,"5.5 < pH <= 7.3","Ammonium nitrate - 35% N",220,"Apply in solution",3,7.3776,"No ",0,100,"Left on field; Incorporated or mulch","no change",0,0,1,0,0,1,0,0,0,2,0,0,0,4,6.98451731879486
"n_h_LD-HR","BAU",2013,"3","BAU_n_h_LD-HR_3","wosr",7.2,24.12,"Temperate",10,"Other","Fine",5.848,"5.16 < SOM <= 10.32","Moist","Good",7,"5.5 < pH <= 7.3","Ammonium nitrate - 35% N",190,"Apply in solution",3,2,"No ",0,100,"Left on field; Incorporated or mulch","no change",0,0,0,0,0,0,0,0,0,1,0,1,0,3,3.35
"n_h_LD-HR","BAU",2014,"4","BAU_n_h_LD-HR_4","winterwheat",7.2,53.7941952755681,"Temperate",10,"Winter wheat","Fine",5.848,"5.16 < SOM <= 10.32","Moist","Good",7,"5.5 < pH <= 7.3","Ammonium nitrate - 35% N",220,"Apply in solution",3,7.3776,"No ",0,100,"Left on field; Incorporated or mulch","no change",0,0,1,0,0,1,0,0,0,2,0,0,0,4,7.47141601049557
