"ID","scenario","region","soiltype","initDR","year","crop","gp","oc","yield","calories","calories_diff","land_use","land_use_diff","ww_yield","ww_pc","cyl","output","fuel_cost","labour_cost","operations_cost","fertiliser_cost","seed_cost","herbicide_cost","sundry_cost","variables_cost","other_cost","c_fert_prod","c_fert_appl","c_pesticide","c_stock_change","c_field_energy_use","c_total","c_emiss_diff"
"BAU_n_h_HD-HR_1","BAU","north","heavy","HD-HR",1,"winterwheat",872.145,0,8.2175,2744.645,0,0.364464866885378,0,8.2175,0,135.505,1722.695,127,64.5,191.5,233.96,72,171.09,182,659.05,487.96,1345.142857,1978.57345,166.0008,0,43.46694179,3533.184049,0
"BAU_n_h_HD-HR_2","BAU","north","heavy","HD-HR",2,"winterwheat",662.260854245973,0,7.06378054567861,2359.30270225666,0,0.424346242540018,0,7.06378054567861,0,182.542972972973,1512.13723757247,126.514636918249,64.3157519835789,190.830388901828,233.96,72,171.09,182,659.05,487.96,1345.142857,1978.57345,166.0008,0,43.46694179,3533.184049,0
"BAU_n_h_HD-HR_3","BAU","north","heavy","HD-HR",3,"wosr",498.7,0,3.35,1654.9,0,0.604266118798719,0,0,0,0,1345.25,211,111,322,241.8,23.49,67.26,192,524.55,457.29,1161.714286,1663.150282,41,0,55.92590348,2921.790471,0
"BAU_n_h_HD-HR_4","BAU","north","heavy","HD-HR",4,"winterwheat",750.564418528169,0,7.54450551973877,2519.86484359275,0,0.397269508211444,0,7.54450551973877,0,258.326486486486,1599.87392702042,126.111598178244,64.1479103140027,190.259508492247,233.96,72,171.09,182,659.05,487.96,1345.142857,1978.57345,166.0008,0,43.46694179,3533.184049,0
"BAU_n_h_HD-HR_5","BAU","north","heavy","HD-HR",5,"winterwheat",663.365871068705,0,7.07403255055391,2362.72687188501,0,0.423428610175549,0,7.07403255055391,0,98.9081081081081,1514.01183080911,127.123755623233,64.4722041171676,191.595959740401,233.96,72,171.09,182,659.05,487.96,1345.142857,1978.57345,166.0008,0,43.46694179,3533.184049,0
"BAU_n_h_HD-HR_6","BAU","north","heavy","HD-HR",6,"wosr",498.7,0,3.35,1654.9,0,0.604266118798719,0,0,0,0,1345.25,211,111,322,241.8,23.49,67.26,192,524.55,457.29,1161.714286,1663.150282,41,0,55.92590348,2921.790471,0
"BAU_n_m_HD-HR_1","BAU","north","medium","HD-HR",1,"winterwheat",722.465,0,7.285,2433.19,0,0.411116050327624,0,7.285,0,119.535,1552.5125,113.25,57.75,171,233.96,72,171.09,182,659.05,487.96,1345.142857,982.23697,166.0008,0,41.56689883,2534.947526,0
"BAU_n_m_HD-HR_2","BAU","north","medium","HD-HR",2,"winterwheat",548.537447813019,0,6.41827795308764,2143.70483633127,0,0.466972515137269,0,6.41827795308764,0,132.804594594595,1394.33529269789,123.063817404256,63.6879391347521,186.751756539008,233.96,72,171.09,182,659.05,487.96,1345.142857,982.23697,166.0008,0,73.4481337,2566.828761,0
"BAU_n_m_HD-HR_3","BAU","north","medium","HD-HR",3,"wosr",358.55,0,2.86,1412.84,0,0.707794230061437,0,0,0,0,1181.1,195,103,298,241.8,23.49,67.26,192,524.55,457.29,1161.714286,829.348723,41,0,46.25251689,2078.315526,0
"BAU_n_m_HD-HR_4","BAU","north","medium","HD-HR",4,"winterwheat",662.111246245271,0,6.95153772695892,2321.81360080428,0,0.431085476592896,0,6.95153772695892,0,180.394189189189,1491.65567561691,112.873637933897,57.6245459779656,170.498183911863,233.96,72,171.09,182,659.05,487.96,1345.142857,982.23697,166.0008,0,41.56689883,2534.947526,0
